clone_id	n_cells
clone_0001	442
clone_0002	171
clone_0003	134
clone_0004	128
clone_0005	61
clone_0006	59
clone_0007	56
clone_0008	54
clone_0009	47
clone_0010	42
clone_0011	41
clone_0012	38
clone_0013	37
clone_0014	33
clone_0015	30
clone_0016	28
clone_0017	27
clone_0018	27
clone_0019	27
clone_0020	26
clone_0021	25
clone_0022	25
clone_0023	25
clone_0024	18
clone_0025	16
clone_0026	16
clone_0027	14
clone_0028	14
clone_0029	14
clone_0030	14
clone_0031	14
clone_0032	14
clone_0033	14
clone_0034	14
clone_0035	13
clone_0036	12
clone_0037	12
clone_0038	12
clone_0039	11
clone_0040	11
clone_0041	11
clone_0042	11
clone_0043	11
clone_0044	11
clone_0045	11
clone_0046	11
clone_0047	10
clone_0048	10
clone_0049	10
clone_0050	10
clone_0051	10
clone_0052	10
clone_0053	10
clone_0054	9
clone_0055	9
clone_0056	9
clone_0057	9
clone_0058	9
clone_0059	8
clone_0060	8
clone_0061	8
clone_0062	8
clone_0063	7
clone_0064	7
clone_0065	7
clone_0066	7
clone_0067	7
clone_0068	7
clone_0069	7
clone_0070	7
clone_0071	7
clone_0072	7
clone_0073	7
clone_0074	7
clone_0075	7
clone_0076	6
clone_0077	6
clone_0078	6
clone_0079	6
clone_0080	6
clone_0081	6
clone_0082	6
clone_0083	6
clone_0084	6
clone_0085	6
clone_0086	6
clone_0087	6
clone_0088	6
clone_0089	5
clone_0090	5
clone_0091	5
clone_0092	5
clone_0093	5
clone_0094	5
clone_0095	5
clone_0096	5
clone_0097	5
clone_0098	5
clone_0099	5
clone_0100	5
clone_0101	5
clone_0102	5
clone_0103	5
clone_0104	5
clone_0105	5
clone_0106	5
clone_0107	5
clone_0108	5
clone_0109	4
clone_0110	4
clone_0111	4
clone_0112	4
clone_0113	4
clone_0114	4
clone_0115	4
clone_0116	4
clone_0117	4
clone_0118	4
clone_0119	4
clone_0120	4
clone_0121	4
clone_0122	4
clone_0123	4
clone_0124	4
clone_0125	4
clone_0126	4
clone_0127	4
clone_0128	4
clone_0129	4
clone_0130	4
clone_0131	4
clone_0132	4
clone_0133	4
clone_0134	3
clone_0135	3
clone_0136	3
clone_0137	3
clone_0138	3
clone_0139	3
clone_0140	3
clone_0141	3
